Source,Geography,Race,Education,Cause,Deaths
NCHS,Fulton,White,Some College or Higher,All other Diseases of the Nervous System,177.0
OASIS,Fulton,White,Some College or Higher,All other Diseases of the Nervous System,177.0
Georgia,Fulton,White,Some College or Higher,All Other Diseases of the Nervous System,177.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",148.0
Georgia,Fulton,White,Some College or Higher,Ischemic Heart and Vascular Disease,128.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),Ischemic Heart and Vascular Disease,125.0
NCHS,Fulton,White,Some College or Higher,Alzheimer's Disease,120.0
Georgia,Fulton,White,Some College or Higher,Alzheimers Disease,120.0
OASIS,Fulton,White,Some College or Higher,Alzheimer's Disease,120.0
Georgia,Fulton,Black or African-American,Some College or Higher,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",112.0
NCHS,Fulton,White,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),110.0
OASIS,Fulton,White,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),110.0
Georgia,Fulton,Black or African-American,Some College or Higher,Ischemic Heart and Vascular Disease,109.0
Georgia,DeKalb,White,Some College or Higher,All Other Diseases of the Nervous System,106.0
NCHS,DeKalb,White,Some College or Higher,All other Diseases of the Nervous System,106.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Obstructive Heart Disease (incl. Heart Attack),106.0
OASIS,DeKalb,White,Some College or Higher,All other Diseases of the Nervous System,106.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Obstructive Heart Disease (incl. Heart Attack),106.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Stroke,105.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Stroke,105.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),Cerebrovascular Disease,105.0
Georgia,DeKalb,White,Some College or Higher,Ischemic Heart and Vascular Disease,104.0
Georgia,DeKalb,Black or African-American,Some College or Higher,Ischemic Heart and Vascular Disease,101.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Hypertensive Heart Disease,98.0
NCHS,Fulton,White,Some College or Higher,Stroke,98.0
NCHS,Fulton,Black or African-American,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),98.0
Georgia,Fulton,White,Some College or Higher,Cerebrovascular Disease,98.0
OASIS,Fulton,Black or African-American,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),98.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Hypertensive Heart Disease,98.0
OASIS,Fulton,White,Some College or Higher,Stroke,98.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",94.0
Georgia,Fulton,White,Some College or Higher,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",94.0
OASIS,DeKalb,White,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),93.0
Georgia,DeKalb,Black or African-American,Some College or Higher,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",93.0
NCHS,DeKalb,White,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),93.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),Ischemic Heart and Vascular Disease,93.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),92.0
NCHS,DeKalb,Black or African-American,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),92.0
NCHS,Fulton,White,High School Diploma or GED (12),All other Diseases of the Nervous System,87.0
Georgia,Fulton,White,High School Diploma or GED (12),All Other Diseases of the Nervous System,87.0
OASIS,Fulton,White,High School Diploma or GED (12),All other Diseases of the Nervous System,87.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Obstructive Heart Disease (incl. Heart Attack),85.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Obstructive Heart Disease (incl. Heart Attack),85.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Diabetes,83.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),Diabetes Mellitus,83.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Diabetes,83.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),Assault (Homicide),81.0
Georgia,Fulton,Black or African-American,Some College or Higher,Cerebrovascular Disease,81.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Assault (Homicide),81.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Assault (Homicide),81.0
NCHS,Fulton,Black or African-American,Some College or Higher,Stroke,81.0
OASIS,Fulton,Black or African-American,Some College or Higher,Stroke,81.0
NCHS,DeKalb,Black or African-American,Some College or Higher,All other Diseases of the Nervous System,80.0
Georgia,DeKalb,Black or African-American,Some College or Higher,All Other Diseases of the Nervous System,80.0
OASIS,DeKalb,Black or African-American,Some College or Higher,All other Diseases of the Nervous System,80.0
Georgia,Fulton,White,Some College or Higher,"Malignant Neoplasms of the Trachea, Bronchus and Lung",78.0
NCHS,Fulton,White,Some College or Higher,Lung Cancer,78.0
OASIS,Fulton,White,Some College or Higher,Lung Cancer,78.0
Georgia,DeKalb,White,Some College or Higher,Alzheimers Disease,76.0
OASIS,DeKalb,White,Some College or Higher,Alzheimer's Disease,76.0
NCHS,DeKalb,White,Some College or Higher,Alzheimer's Disease,76.0
Georgia,Fulton,Black or African-American,Some College or Higher,All Other Diseases of the Nervous System,72.0
NCHS,Fulton,Black or African-American,Some College or Higher,All other Diseases of the Nervous System,72.0
Georgia,DeKalb,White,Some College or Higher,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",72.0
OASIS,Fulton,Black or African-American,Some College or Higher,All other Diseases of the Nervous System,72.0
NCHS,Fulton,Black or African-American,Some College or Higher,Hypertensive Heart Disease,70.0
OASIS,Fulton,Black or African-American,Some College or Higher,Hypertensive Heart Disease,70.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Stroke,69.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Stroke,69.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),Cerebrovascular Disease,69.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Stroke,68.0
Georgia,DeKalb,Black or African-American,Some College or Higher,Cerebrovascular Disease,68.0
NCHS,DeKalb,Black or African-American,Some College or Higher,Stroke,68.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),All other Diseases of the Nervous System,66.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),All Other Diseases of the Nervous System,66.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),All other Diseases of the Nervous System,66.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Hypertensive Heart Disease,64.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Diabetes,64.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Hypertensive Heart Disease,64.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),Diabetes Mellitus,64.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Diabetes,64.0
OASIS,Fulton,White,Some College or Higher,Hypertensive Heart Disease,63.0
NCHS,Fulton,White,Some College or Higher,Hypertensive Heart Disease,63.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Lung Cancer,60.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Lung Cancer,60.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),"Malignant Neoplasms of the Trachea, Bronchus and Lung",60.0
NCHS,DeKalb,Black or African-American,Some College or Higher,Hypertensive Heart Disease,59.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Hypertensive Heart Disease,59.0
Georgia,Fulton,White,Some College or Higher,"All Other Endocrine, Nutritional and Metabolic Diseases",59.0
NCHS,Fulton,White,Some College or Higher,"All other Endocrine, Nutritional and Metabolic Diseases",59.0
OASIS,Fulton,White,Some College or Higher,"All other Endocrine, Nutritional and Metabolic Diseases",59.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Poisoning,58.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),Accidental Poisoning and Exposure to Noxious Substances,58.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Poisoning,58.0
Georgia,Fulton,Black or African-American,Some College or Higher,Diabetes Mellitus,57.0
NCHS,Fulton,Black or African-American,Some College or Higher,Diabetes,57.0
OASIS,Fulton,Black or African-American,Some College or Higher,Diabetes,57.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),"Malignant Neoplasms of the Trachea, Bronchus and Lung",56.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Lung Cancer,56.0
Georgia,Fulton,White,Some College or Higher,All COPD Except Asthma,56.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Lung Cancer,56.0
OASIS,Fulton,White,Some College or Higher,Intentional Self-Harm (Suicide),55.0
NCHS,DeKalb,White,Some College or Higher,Hypertensive Heart Disease,55.0
NCHS,Fulton,White,Some College or Higher,Intentional Self-Harm (Suicide),55.0
Georgia,Fulton,White,Some College or Higher,Intentional Self-Harm (Suicide),55.0
OASIS,DeKalb,White,Some College or Higher,Hypertensive Heart Disease,55.0
Georgia,DeKalb,Black or African-American,Some College or Higher,Diabetes Mellitus,54.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),All Other Diseases of the Nervous System,54.0
NCHS,DeKalb,Black or African-American,Some College or Higher,Diabetes,54.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),All other Diseases of the Nervous System,54.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),All other Diseases of the Nervous System,54.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Diabetes,54.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Assault (Homicide),53.0
OASIS,DeKalb,Black or African-American,Some College or Higher,"All other Endocrine, Nutritional and Metabolic Diseases",53.0
Georgia,DeKalb,Black or African-American,Some College or Higher,"All Other Endocrine, Nutritional and Metabolic Diseases",53.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Assault (Homicide),53.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),Assault (Homicide),53.0
NCHS,DeKalb,Black or African-American,Some College or Higher,"All other Endocrine, Nutritional and Metabolic Diseases",53.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),Alzheimers Disease,51.0
NCHS,DeKalb,White,Some College or Higher,Stroke,51.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Kidney Diseases,51.0
NCHS,Fulton,Black or African-American,High School Diploma or GED (12),Alzheimer's Disease,51.0
Georgia,Fulton,Black or African-American,High School Diploma or GED (12),"Nephritis, Nephrotic Syndrome and Nephrosis",51.0
OASIS,DeKalb,White,Some College or Higher,Stroke,51.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Kidney Diseases,51.0
Georgia,DeKalb,White,Some College or Higher,Cerebrovascular Disease,51.0
OASIS,Fulton,Black or African-American,High School Diploma or GED (12),Alzheimer's Disease,51.0
NCHS,Fulton,Black or African-American,Some College or Higher,Alzheimer's Disease,50.0
Georgia,Fulton,Black or African-American,Some College or Higher,Alzheimers Disease,50.0
OASIS,Fulton,White,Some College or Higher,All other Chronic Lower Respiratory Diseases,50.0
OASIS,Fulton,Black or African-American,Some College or Higher,Alzheimer's Disease,50.0
NCHS,Fulton,White,Some College or Higher,All other Chronic Lower Respiratory Diseases,50.0
Georgia,Fulton,Black or African-American,Less than High School Education,Assault (Homicide),50.0
OASIS,Fulton,Black or African-American,Less than High School Education,Assault (Homicide),50.0
NCHS,Fulton,Black or African-American,Less than High School Education,Assault (Homicide),50.0
Georgia,Fulton,Black or African-American,Less than High School Education,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",49.0
OASIS,Fulton,White,Some College or Higher,All other Mental and Behavioral Disorders,48.0
NCHS,Fulton,White,Some College or Higher,All other Mental and Behavioral Disorders,48.0
Georgia,Fulton,White,Some College or Higher,All Other Mental and Behavioral Disorders,48.0
Georgia,DeKalb,Black or African-American,High School Diploma or GED (12),Alzheimers Disease,46.0
NCHS,DeKalb,Black or African-American,High School Diploma or GED (12),Alzheimer's Disease,46.0
Georgia,Fulton,Black or African-American,Some College or Higher,"All Other Endocrine, Nutritional and Metabolic Diseases",46.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Alzheimer's Disease,46.0
NCHS,Fulton,Black or African-American,Some College or Higher,"All other Endocrine, Nutritional and Metabolic Diseases",46.0
OASIS,Fulton,Black or African-American,Some College or Higher,"All other Endocrine, Nutritional and Metabolic Diseases",46.0
Georgia,Fulton,Black or African-American,Less than High School Education,Cerebrovascular Disease,45.0
Georgia,DeKalb,White,Some College or Higher,All COPD Except Asthma,45.0
NCHS,Fulton,Black or African-American,Less than High School Education,Stroke,45.0
OASIS,Fulton,Black or African-American,Less than High School Education,Stroke,45.0
OASIS,Fulton,White,High School Diploma or GED (12),Alzheimer's Disease,44.0
OASIS,DeKalb,Black or African-American,High School Diploma or GED (12),Poisoning,44.0
