Source,Geography,Race,SES Vulnerability,Cause,Deaths
Georgia,Fulton,White,Very Low,All Other Diseases of the Nervous System,161.0
NCHS,Fulton,White,Very Low,All other Diseases of the Nervous System,161.0
OASIS,Fulton,White,Very Low,All other Diseases of the Nervous System,161.0
Georgia,Fulton,Black or African-American,Very High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",122.0
Georgia,Fulton,White,Very Low,Ischemic Heart and Vascular Disease,101.0
Georgia,Fulton,White,Very Low,Alzheimers Disease,95.0
NCHS,Fulton,White,Very Low,Alzheimer's Disease,95.0
OASIS,Fulton,White,Very Low,Alzheimer's Disease,95.0
Georgia,Fulton,Black or African-American,Very High,Ischemic Heart and Vascular Disease,92.0
NCHS,Fulton,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),85.0
OASIS,Fulton,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),85.0
Georgia,Fulton,White,Very Low,Cerebrovascular Disease,84.0
OASIS,Fulton,White,Very Low,Stroke,84.0
NCHS,Fulton,White,Very Low,Stroke,84.0
OASIS,Fulton,Black or African-American,Very High,Stroke,84.0
NCHS,Fulton,Black or African-American,Very High,Stroke,84.0
Georgia,Fulton,Black or African-American,Very High,Cerebrovascular Disease,84.0
Georgia,DeKalb,White,Very Low,All Other Diseases of the Nervous System,81.0
OASIS,DeKalb,White,Very Low,All other Diseases of the Nervous System,81.0
NCHS,DeKalb,White,Very Low,All other Diseases of the Nervous System,81.0
NCHS,Fulton,Black or African-American,Very High,Hypertensive Heart Disease,80.0
OASIS,Fulton,Black or African-American,Very High,Hypertensive Heart Disease,80.0
Georgia,DeKalb,Black or African-American,High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",79.0
Georgia,Fulton,Black or African-American,High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",77.0
OASIS,Fulton,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),76.0
NCHS,Fulton,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),76.0
Georgia,Fulton,Black or African-American,Very High,Assault (Homicide),75.0
OASIS,Fulton,Black or African-American,Very High,Assault (Homicide),75.0
NCHS,Fulton,Black or African-American,Very High,Assault (Homicide),75.0
Georgia,Fulton,Black or African-American,High,Ischemic Heart and Vascular Disease,71.0
Georgia,DeKalb,Black or African-American,High,Ischemic Heart and Vascular Disease,69.0
Georgia,Fulton,Black or African-American,Very High,Diabetes Mellitus,68.0
OASIS,Fulton,White,Low,All other Diseases of the Nervous System,68.0
NCHS,Fulton,White,Low,All other Diseases of the Nervous System,68.0
Georgia,Fulton,White,Low,All Other Diseases of the Nervous System,68.0
OASIS,Fulton,Black or African-American,Very High,Diabetes,68.0
NCHS,Fulton,Black or African-American,Very High,Diabetes,68.0
OASIS,DeKalb,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),65.0
NCHS,DeKalb,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),65.0
OASIS,Fulton,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),63.0
NCHS,Fulton,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),63.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",61.0
NCHS,Fulton,Black or African-American,Very High,Poisoning,61.0
Georgia,Fulton,Black or African-American,Very High,Accidental Poisoning and Exposure to Noxious Substances,61.0
OASIS,Fulton,Black or African-American,Very High,Poisoning,61.0
OASIS,Fulton,White,Very Low,Lung Cancer,61.0
Georgia,DeKalb,Black or African-American,Very High,Ischemic Heart and Vascular Disease,61.0
NCHS,Fulton,White,Very Low,Lung Cancer,61.0
OASIS,DeKalb,Black or African-American,Very High,Stroke,60.0
NCHS,DeKalb,Black or African-American,Very High,Stroke,60.0
Georgia,DeKalb,Black or African-American,Very High,Cerebrovascular Disease,60.0
Georgia,DeKalb,Black or African-American,Very High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",57.0
Georgia,DeKalb,White,Very Low,Ischemic Heart and Vascular Disease,57.0
OASIS,DeKalb,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),56.0
NCHS,DeKalb,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),56.0
OASIS,Fulton,White,Low,Alzheimer's Disease,55.0
OASIS,Fulton,White,Very Low,All other Mental and Behavioral Disorders,55.0
NCHS,Fulton,White,Low,Alzheimer's Disease,55.0
NCHS,Fulton,White,Very Low,All other Mental and Behavioral Disorders,55.0
Georgia,Fulton,White,Low,Alzheimers Disease,55.0
Georgia,Fulton,White,Very Low,All Other Mental and Behavioral Disorders,55.0
NCHS,DeKalb,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),53.0
OASIS,DeKalb,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),53.0
OASIS,DeKalb,Black or African-American,Very High,Assault (Homicide),52.0
NCHS,DeKalb,Black or African-American,Very High,Assault (Homicide),52.0
Georgia,Fulton,White,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",52.0
Georgia,DeKalb,Black or African-American,Very High,Assault (Homicide),52.0
OASIS,Fulton,Black or African-American,Very High,Lung Cancer,50.0
OASIS,DeKalb,Black or African-American,High,Hypertensive Heart Disease,50.0
Georgia,Fulton,Black or African-American,Average,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",50.0
NCHS,Fulton,Black or African-American,Very High,Lung Cancer,50.0
Georgia,Fulton,Black or African-American,Very High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",50.0
NCHS,DeKalb,Black or African-American,High,Hypertensive Heart Disease,50.0
OASIS,Fulton,Black or African-American,High,Stroke,49.0
OASIS,DeKalb,Black or African-American,Very High,All other Diseases of the Nervous System,49.0
OASIS,DeKalb,White,Very Low,Alzheimer's Disease,49.0
NCHS,Fulton,Black or African-American,High,Stroke,49.0
Georgia,DeKalb,White,Very Low,Alzheimers Disease,49.0
NCHS,DeKalb,Black or African-American,Very High,All other Diseases of the Nervous System,49.0
Georgia,DeKalb,Black or African-American,Very High,All Other Diseases of the Nervous System,49.0
NCHS,DeKalb,White,Very Low,Alzheimer's Disease,49.0
Georgia,Fulton,Black or African-American,High,Cerebrovascular Disease,49.0
OASIS,DeKalb,Black or African-American,Low,All other Diseases of the Nervous System,48.0
Georgia,DeKalb,Black or African-American,Low,All Other Diseases of the Nervous System,48.0
NCHS,DeKalb,Black or African-American,Low,All other Diseases of the Nervous System,48.0
Georgia,DeKalb,Black or African-American,Low,Ischemic Heart and Vascular Disease,48.0
OASIS,Fulton,White,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",48.0
Georgia,Fulton,White,Very Low,"All Other Endocrine, Nutritional and Metabolic Diseases",48.0
NCHS,Fulton,White,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",48.0
Georgia,Fulton,White,Very Low,All COPD Except Asthma,47.0
Georgia,DeKalb,Black or African-American,High,Cerebrovascular Disease,46.0
OASIS,DeKalb,Black or African-American,High,Stroke,46.0
NCHS,DeKalb,Black or African-American,High,Stroke,46.0
NCHS,Fulton,Black or African-American,High,Hypertensive Heart Disease,45.0
Georgia,DeKalb,White,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",45.0
OASIS,Fulton,Black or African-American,High,Hypertensive Heart Disease,45.0
Georgia,Fulton,Black or African-American,Average,Ischemic Heart and Vascular Disease,44.0
NCHS,Fulton,Black or African-American,Very High,Kidney Diseases,43.0
Georgia,Fulton,Black or African-American,Very High,"Nephritis, Nephrotic Syndrome and Nephrosis",43.0
OASIS,Fulton,Black or African-American,Very High,Kidney Diseases,43.0
OASIS,DeKalb,Black or African-American,Very High,Hypertensive Heart Disease,42.0
NCHS,Fulton,White,Very Low,All other Chronic Lower Respiratory Diseases,42.0
OASIS,DeKalb,Black or African-American,Low,Obstructive Heart Disease (incl. Heart Attack),42.0
Georgia,Fulton,Black or African-American,Very High,All Other Diseases of the Nervous System,42.0
OASIS,Fulton,Black or African-American,Very High,All other Diseases of the Nervous System,42.0
