Geography,FIPS,Race,Cause,Age,Sex,Deaths,Source,Percent,Group
DeKalb,13089,Selected Races Total,Selected Causes Total,<1 year,Selected Sexes Total,59.0,Georgia,1.3563218390804597,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,<1 year,Selected Sexes Total,22.0,OASIS,0.3971119133574007,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,<1 year,Selected Sexes Total,24.0,OASIS,0.5616662766206413,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,<1 year,Selected Sexes Total,52.0,NCHS,0.909249868858192,NCHS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,<1 year,Selected Sexes Total,63.0,Georgia,1.1109151825074943,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,<1 year,Selected Sexes Total,57.0,NCHS,1.293984108967083,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,1-4 years,Selected Sexes Total,15.0,NCHS,0.340522133938706,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,1-4 years,Selected Sexes Total,16.0,NCHS,0.2797691904179052,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,1-4 years,Selected Sexes Total,13.0,OASIS,0.30423589983618066,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,1-4 years,Selected Sexes Total,17.0,Georgia,0.2997707635337683,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,1-4 years,Selected Sexes Total,15.0,Georgia,0.3448275862068966,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,1-4 years,Selected Sexes Total,14.0,OASIS,0.2527075812274368,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,5-9 years,Selected Sexes Total,5.0,NCHS,0.08742787200559538,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,5-9 years,Selected Sexes Total,10.0,Georgia,0.22988505747126436,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,5-9 years,Selected Sexes Total,5.0,OASIS,0.09025270758122744,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,5-9 years,Selected Sexes Total,10.0,OASIS,0.2340276152586005,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,5-9 years,Selected Sexes Total,5.0,Georgia,0.08816787162757891,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,5-9 years,Selected Sexes Total,10.0,NCHS,0.22701475595913734,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,10-14 years,Selected Sexes Total,9.0,NCHS,0.20431328036322363,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,10-14 years,Selected Sexes Total,14.0,NCHS,0.24479804161566704,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,10-14 years,Selected Sexes Total,10.0,Georgia,0.22988505747126436,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,10-14 years,Selected Sexes Total,15.0,Georgia,0.26450361488273677,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,10-14 years,Selected Sexes Total,10.0,OASIS,0.2340276152586005,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,10-14 years,Selected Sexes Total,11.0,OASIS,0.19855595667870035,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,15-17 years,Selected Sexes Total,20.0,NCHS,0.3497114880223815,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,15-17 years,Selected Sexes Total,23.0,NCHS,0.5221339387060159,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,15-17 years,Selected Sexes Total,21.0,OASIS,0.49145799204306106,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,15-17 years,Selected Sexes Total,19.0,OASIS,0.34296028880866425,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,15-17 years,Selected Sexes Total,19.0,Georgia,0.33503791218479984,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,15-17 years,Selected Sexes Total,21.0,Georgia,0.4827586206896552,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,22.0,Georgia,0.3879386351613472,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,14.0,Georgia,0.3218390804597701,Georgia - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,13.0,NCHS,0.29511918274687854,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,22.0,NCHS,0.3846826368246197,NCHS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,22.0,OASIS,0.3971119133574007,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,13.0,OASIS,0.30423589983618066,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,70.0,OASIS,1.263537906137184,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,65.0,NCHS,1.4755959137343928,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,62.0,OASIS,1.4509712146033231,OASIS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,62.0,Georgia,1.4252873563218391,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,73.0,NCHS,1.2764469312816926,NCHS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,73.0,Georgia,1.287250925762652,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,66.0,NCHS,1.4982973893303064,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,63.0,Georgia,1.4482758620689655,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,75.0,OASIS,1.3537906137184115,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,76.0,NCHS,1.3289036544850499,NCHS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,78.0,Georgia,1.375418797390231,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,62.0,OASIS,1.4509712146033231,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,108.0,NCHS,1.8884420353208604,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,84.0,OASIS,1.9658319681722443,OASIS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,86.0,NCHS,1.952326901248581,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,112.0,Georgia,1.9749603244577676,Georgia - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,111.0,OASIS,2.003610108303249,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,84.0,Georgia,1.9310344827586208,Georgia - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,91.0,Georgia,2.0919540229885056,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,127.0,OASIS,2.292418772563177,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,127.0,NCHS,2.2206679489421224,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,90.0,NCHS,2.0431328036322363,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,90.0,OASIS,2.1062485373274047,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,131.0,Georgia,2.3099982366425675,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,111.0,NCHS,2.5198637911464243,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,113.0,OASIS,2.644512052422186,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,162.0,NCHS,2.83266305298129,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,113.0,Georgia,2.597701149425287,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,153.0,Georgia,2.6979368718039147,Georgia - Fulton
