Geography,FIPS,Race,Cause,Age,Sex,Deaths,County,Percent
Fulton,13121,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,22.0,Fulton,0.4022673249222892
Fulton,13121,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,70.0,Fulton,1.279941488389102
Fulton,13121,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,75.0,Fulton,1.3713658804168951
Fulton,13121,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,111.0,Fulton,2.029621503017005
Fulton,13121,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,127.0,Fulton,2.3221795575059425
Fulton,13121,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,151.0,Fulton,2.761016639239349
Fulton,13121,Selected Races Total,Selected Causes Total,45-49 years,Selected Sexes Total,187.0,Fulton,3.419272261839459
Fulton,13121,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,204.0,Fulton,3.7301151947339553
Fulton,13121,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,309.0,Fulton,5.6500274273176085
Fulton,13121,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,447.0,Fulton,8.173340647284695
Fulton,13121,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,477.0,Fulton,8.721886999451453
Fulton,13121,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,570.0,Fulton,10.422380691168403
Fulton,13121,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,638.0,Fulton,11.66575242274639
Fulton,13121,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,643.0,Fulton,11.757176814774182
Fulton,13121,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,1438.0,Fulton,26.293655147193274
DeKalb,13089,Selected Races Total,Selected Causes Total,18-19 years,Selected Sexes Total,13.0,DeKalb,0.30989272943980933
DeKalb,13089,Selected Races Total,Selected Causes Total,20-24 years,Selected Sexes Total,62.0,DeKalb,1.4779499404052443
DeKalb,13089,Selected Races Total,Selected Causes Total,25-29 years,Selected Sexes Total,62.0,DeKalb,1.4779499404052443
DeKalb,13089,Selected Races Total,Selected Causes Total,30-34 years,Selected Sexes Total,84.0,DeKalb,2.00238379022646
DeKalb,13089,Selected Races Total,Selected Causes Total,35-39 years,Selected Sexes Total,90.0,DeKalb,2.1454112038140645
DeKalb,13089,Selected Races Total,Selected Causes Total,40-44 years,Selected Sexes Total,113.0,DeKalb,2.693682955899881
DeKalb,13089,Selected Races Total,Selected Causes Total,45-49 years,Selected Sexes Total,147.0,DeKalb,3.504171632896305
DeKalb,13089,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,157.0,DeKalb,3.742550655542312
DeKalb,13089,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,229.0,DeKalb,5.4588796185935635
DeKalb,13089,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,331.0,DeKalb,7.890345649582836
DeKalb,13089,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,434.0,DeKalb,10.34564958283671
DeKalb,13089,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,495.0,DeKalb,11.799761620977355
DeKalb,13089,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,519.0,DeKalb,12.371871275327772
DeKalb,13089,Selected Races Total,Selected Causes Total,80-84 years,Selected Sexes Total,496.0,DeKalb,11.823599523241954
DeKalb,13089,Selected Races Total,Selected Causes Total,85+ years,Selected Sexes Total,963.0,DeKalb,22.955899880810488
