Geography,FIPS,Race,Cause,Age,Sex,Deaths,County,Percent
Fulton,13121,White,Selected Causes Total,Selected Ages Total,Selected Sexes Total,2252.0,Fulton,41.17754616931798
Fulton,13121,Black or African-American,Selected Causes Total,Selected Ages Total,Selected Sexes Total,3057.0,Fulton,55.89687328579265
Fulton,13121,Asian,Selected Causes Total,Selected Ages Total,Selected Sexes Total,123.0,Fulton,2.249040043883708
Fulton,13121,American Indian or Alaska Native,Selected Causes Total,Selected Ages Total,Selected Sexes Total,5.0,Fulton,0.09142439202779301
Fulton,13121,Native Hawaiian or Other Pacific Islander,Selected Causes Total,Selected Ages Total,Selected Sexes Total,6.0,Fulton,0.10970927043335163
Fulton,13121,Multiracial,Selected Causes Total,Selected Ages Total,Selected Sexes Total,26.0,Fulton,0.47540683854452365
Fulton,13121,Unknown Race,Selected Causes Total,Selected Ages Total,Selected Sexes Total,0.0,Fulton,0.0
DeKalb,13089,White,Selected Causes Total,Selected Ages Total,Selected Sexes Total,1462.0,DeKalb,34.851013110846246
DeKalb,13089,Black or African-American,Selected Causes Total,Selected Ages Total,Selected Sexes Total,2571.0,DeKalb,61.28724672228844
DeKalb,13089,Asian,Selected Causes Total,Selected Ages Total,Selected Sexes Total,135.0,DeKalb,3.2181168057210967
DeKalb,13089,American Indian or Alaska Native,Selected Causes Total,Selected Ages Total,Selected Sexes Total,2.0,DeKalb,0.04767580452920143
DeKalb,13089,Native Hawaiian or Other Pacific Islander,Selected Causes Total,Selected Ages Total,Selected Sexes Total,1.0,DeKalb,0.023837902264600714
DeKalb,13089,Multiracial,Selected Causes Total,Selected Ages Total,Selected Sexes Total,24.0,DeKalb,0.5721096543504172
DeKalb,13089,Unknown Race,Selected Causes Total,Selected Ages Total,Selected Sexes Total,0.0,DeKalb,0.0
