Geography,FIPS,Race,Cause,Age,Sex,Deaths,County,Percent
Fulton,13121,Selected Races Total,Colon Cancer,Selected Ages Total,Selected Sexes Total,133.0,Fulton,2.4318888279392943
Fulton,13121,Selected Races Total,Lung Cancer,Selected Ages Total,Selected Sexes Total,244.0,Fulton,4.461510330956299
Fulton,13121,Selected Races Total,Diabetes,Selected Ages Total,Selected Sexes Total,212.0,Fulton,3.8763942219784235
Fulton,13121,Selected Races Total,"All other Endocrine, Nutritional and Metabolic Diseases",Selected Ages Total,Selected Sexes Total,194.0,Fulton,3.5472664106783687
Fulton,13121,Selected Races Total,All other Mental and Behavioral Disorders,Selected Ages Total,Selected Sexes Total,155.0,Fulton,2.8341561528615835
Fulton,13121,Selected Races Total,Alzheimer's Disease,Selected Ages Total,Selected Sexes Total,313.0,Fulton,5.723166940939843
Fulton,13121,Selected Races Total,All other Diseases of the Nervous System,Selected Ages Total,Selected Sexes Total,452.0,Fulton,8.264765039312488
Fulton,13121,Selected Races Total,Hypertensive Heart Disease,Selected Ages Total,Selected Sexes Total,298.0,Fulton,5.4488937648564635
Fulton,13121,Selected Races Total,Obstructive Heart Disease (incl. Heart Attack),Selected Ages Total,Selected Sexes Total,428.0,Fulton,7.825927957579082
Fulton,13121,Selected Races Total,Stroke,Selected Ages Total,Selected Sexes Total,399.0,Fulton,7.295666483817882
Fulton,13121,Selected Races Total,All other Chronic Lower Respiratory Diseases,Selected Ages Total,Selected Sexes Total,162.0,Fulton,2.9621503017004938
Fulton,13121,Selected Races Total,Kidney Diseases,Selected Ages Total,Selected Sexes Total,163.0,Fulton,2.9804351801060522
Fulton,13121,Selected Races Total,Poisoning,Selected Ages Total,Selected Sexes Total,216.0,Fulton,3.9495337356006583
Fulton,13121,Selected Races Total,Intentional Self-Harm (Suicide),Selected Ages Total,Selected Sexes Total,147.0,Fulton,2.687877125617115
Fulton,13121,Selected Races Total,Assault (Homicide),Selected Ages Total,Selected Sexes Total,159.0,Fulton,2.907295666483818
DeKalb,13089,Selected Races Total,Colon Cancer,Selected Ages Total,Selected Sexes Total,112.0,DeKalb,2.6698450536352802
DeKalb,13089,Selected Races Total,Lung Cancer,Selected Ages Total,Selected Sexes Total,173.0,DeKalb,4.123957091775924
DeKalb,13089,Selected Races Total,Diabetes,Selected Ages Total,Selected Sexes Total,179.0,DeKalb,4.266984505363528
DeKalb,13089,Selected Races Total,"All other Endocrine, Nutritional and Metabolic Diseases",Selected Ages Total,Selected Sexes Total,159.0,DeKalb,3.7902264600715134
DeKalb,13089,Selected Races Total,All other Mental and Behavioral Disorders,Selected Ages Total,Selected Sexes Total,122.0,DeKalb,2.908224076281287
DeKalb,13089,Selected Races Total,Alzheimer's Disease,Selected Ages Total,Selected Sexes Total,222.0,DeKalb,5.292014302741359
DeKalb,13089,Selected Races Total,All other Diseases of the Nervous System,Selected Ages Total,Selected Sexes Total,336.0,DeKalb,8.00953516090584
DeKalb,13089,Selected Races Total,Hypertensive Heart Disease,Selected Ages Total,Selected Sexes Total,243.0,DeKalb,5.792610250297973
DeKalb,13089,Selected Races Total,Obstructive Heart Disease (incl. Heart Attack),Selected Ages Total,Selected Sexes Total,360.0,DeKalb,8.581644815256258
DeKalb,13089,Selected Races Total,Stroke,Selected Ages Total,Selected Sexes Total,288.0,DeKalb,6.865315852205006
DeKalb,13089,Selected Races Total,All other Chronic Lower Respiratory Diseases,Selected Ages Total,Selected Sexes Total,149.0,DeKalb,3.5518474374255065
DeKalb,13089,Selected Races Total,Kidney Diseases,Selected Ages Total,Selected Sexes Total,129.0,DeKalb,3.075089392133492
DeKalb,13089,Selected Races Total,Poisoning,Selected Ages Total,Selected Sexes Total,153.0,DeKalb,3.6471990464839092
DeKalb,13089,Selected Races Total,Intentional Self-Harm (Suicide),Selected Ages Total,Selected Sexes Total,91.0,DeKalb,2.169249106078665
DeKalb,13089,Selected Races Total,Assault (Homicide),Selected Ages Total,Selected Sexes Total,104.0,DeKalb,2.4791418355184747
